1792	2559	256	1751	2362	209
2048	2559	256	1990	2363	210
2303	2559	256	2252	2362	209
2559	2559	256	2490	2362	208
2815	2559	256	2725	2364	208
3071	2559	256	2965	2364	207
3327	2559	256	3201	2364	206
3583	2559	256	3439	2364	206
3839	2559	256	3681	2364	204
4095	2559	256	3919	2363	202
0	2815	256	49	2577	211
256	2815	256	300	2575	211
512	2815	256	546	2573	210
768	2815	256	789	2575	209
1024	2815	256	1028	2574	210
1280	2815	256	1271	2575	209
1536	2815	256	1512	2575	209
1792	2815	256	1753	2576	208
2048	2815	256	1993	2577	208
2303	2815	256	2255	2577	208
2559	2815	256	2492	2576	207
2815	2815	256	2726	2576	207
3071	2815	256	2966	2577	207
3327	2815	256	3203	2577	206
3583	2815	256	3441	2578	206
3839	2815	256	3683	2577	204
4095	2815	256	3922	2577	201
0	3071	256	53	2808	211
256	3071	256	303	2804	210
512	3071	256	549	2804	209
768	3071	256	792	2805	208
1024	3071	256	1031	2805	208
1280	3071	256	1273	2805	208
1536	3071	256	1517	2805	207
1792	3071	256	1757	2805	207
2048	3071	256	1996	2806	207
2303	3071	256	2260	2807	207
2559	3071	256	2495	2806	206
2815	3071	256	2730	2806	205
3071	3071	256	2970	2806	206
3327	3071	256	3206	2806	204
3583	3071	256	3444	2807	204
3839	3071	256	3688	2807	203
4095	3071	256	3926	2806	201
0	3327	256	57	3036	210
256	3327	256	306	3033	208
512	3327	256	553	3034	208
768	3327	256	795	3035	207
1024	3327	256	1034	3034	206
1280	3327	256	1276	3033	207
1536	3327	256	1519	3034	206
1792	3327	256	1760	3035	206
2048	3327	256	1999	3035	206
2303	3327	256	2263	3036	205
2559	3327	256	2500	3036	205
2815	3327	256	2735	3036	204
3071	3327	256	2974	3036	204
3327	3327	256	3210	3036	203
3583	3327	256	3448	3036	202
3839	3327	256	3691	3036	202
4095	3327	256	3929	3036	200
0	3583	256	62	3261	209
256	3583	256	312	3257	207
512	3583	256	558	3258	207
768	3583	256	799	3258	206
1024	3583	256	1040	3258	205
1280	3583	256	1281	3258	205
1536	3583	256	1525	3258	205
1792	3583	256	1766	3258	204
2048	3583	256	2004	3258	205
2303	3583	256	2269	3259	204
2559	3583	256	2505	3259	204
2815	3583	256	2740	3259	204
3071	3583	256	2980	3260	203
3327	3583	256	3217	3259	203
3583	3583	256	3454	3259	201
3839	3583	256	3697	3259	200
4095	3583	256	3936	3259	199
0	3839	256	65	3493	208
256	3839	256	314	3489	206
512	3839	256	560	3489	205
768	3839	256	802	3488	205
1024	3839	256	1041	3488	205
1280	3839	256	1282	3488	204
1536	3839	256	1528	3489	204
1792	3839	256	1768	3488	203
2048	3839	256	2007	3489	204
2303	3839	256	2272	3489	203
2559	3839	256	2507	3489	202
2815	3839	256	2743	3489	202
3071	3839	256	2984	3490	202
3327	3839	256	3219	3489	201
3583	3839	256	3457	3489	201
3839	3839	256	3700	3490	199
